clientID,Type,age,gender,Dependent_count,Educational_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_count,Month_Inactive_12_month,Contacts_count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Average_Utilization_Ratio,geography
ID_000019,Platinum,20,M,0,Post-Graduate,Divorced,$120K+,Silver,58,5,0,3,7500,5756,95,151.19,37607,17,-14.93,0.623,Canada
ID_000020,Gold,75,F,5,Post-Graduate,Married,$60K - $80K,Platinum,6,3,3,1,15000,8551,5805,1621.76,28526,81,33.15,0.731,USA
ID_000021,Standard,22,F,2,Unknown,Single,$120K+,Platinum,17,3,5,6,10000,1402,12864,4699.27,2035,58,19.29,0.179,Canada
ID_000022,Premium,40,F,0,Unknown,Married,Less than $40K,Blue,53,3,5,6,10000,4268,9013,-637.19,23600,46,109.34,0.628,UK
ID_000023,Standard,70,F,3,Post-Graduate,Unknown,$60K - $80K,Gold,10,3,1,4,15000,2639,3704,1655.07,1654,35,121.72,0.768,UK
ID_000024,Platinum,54,M,3,Unknown,Single,Less than $40K,Silver,2,1,3,0,7500,4713,5689,3144.79,35954,61,101.48,0.135,UK
ID_000025,Platinum,26,F,1,Post-Graduate,Single,$40K - $60K,Blue,33,2,4,0,5000,8290,10918,2907.63,3845,182,117.91,0.19,UK
ID_000026,Standard,32,F,1,Uneducated,Divorced,$60K - $80K,Platinum,43,1,3,6,10000,1101,14682,3859.4,233,82,-34.51,0.636,UK
ID_000027,Standard,20,M,2,Unknown,Married,$120K+,Platinum,25,4,2,9,15000,3986,13665,617.64,41399,196,117.37,0.341,UK
ID_000028,Standard,46,M,4,High School,Single,$120K+,Platinum,38,1,3,0,5000,436,17358,403.72,42775,159,-6.34,0.62,USA
ID_000029,Platinum,23,M,3,Unknown,Single,$40K - $60K,Blue,1,1,2,1,5000,921,4704,3964.67,13627,57,102.34,0.465,UK
ID_000030,Platinum,34,M,0,Uneducated,Married,$120K+,Platinum,16,5,3,3,10000,911,18610,3954.28,1863,39,46.91,0.451,UK
ID_000031,Premium,43,F,4,Uneducated,Married,Less than $40K,Silver,26,3,3,4,1000,3101,11350,492.97,17529,52,-0.66,0.447,UK
ID_000032,Premium,38,F,3,Unknown,Single,$120K+,Platinum,41,1,1,0,1000,1992,10877,1641.62,49654,4,107.25,0.34,USA
ID_000033,Platinum,25,M,2,Graduate,Single,$40K - $60K,Blue,12,3,5,0,15000,7820,7629,1710.04,7156,106,-44.95,0.418,USA
ID_000034,Standard,38,M,3,Post-Graduate,Married,$80K - $120K,Blue,9,2,2,2,15000,3174,4325,2079.62,4725,172,148.03,0.036,Canada
ID_000035,Standard,74,M,1,Post-Graduate,Unknown,$80K - $120K,Platinum,13,1,4,0,1000,64,5356,4018.51,37968,184,52.78,0.317,USA
ID_000036,Premium,28,M,0,Uneducated,Married,Less than $40K,Blue,7,5,5,2,15000,230,12244,2620.32,9665,193,34.74,0.316,USA
ID_000037,Platinum,55,F,0,Unknown,Unknown,$80K - $120K,Gold,57,5,0,4,1000,8833,4934,2109.27,15765,16,62.42,0.577,UK
ID_000038,Premium,25,M,1,Graduate,Single,$120K+,Blue,1,4,4,2,10000,6433,887,736.91,2354,92,126.95,0.637,USA
ID_000039,Premium,59,F,4,High School,Divorced,$40K - $60K,Gold,31,1,3,9,25000,9536,1866,-757.56,14898,21,6.7,0.438,UK
ID_000040,Gold,41,M,1,Post-Graduate,Married,Less than $40K,Blue,35,2,4,7,15000,9832,15236,4508.67,24975,8,0.27,0.104,UK
ID_000041,Gold,78,F,0,Graduate,Single,$80K - $120K,Blue,24,3,3,4,10000,5289,13930,3297.24,6439,143,96.03,0.865,Canada
ID_000042,Gold,52,F,2,Post-Graduate,Single,$120K+,Blue,3,1,3,4,7500,5542,15546,-553.57,41863,100,36.71,0.814,USA
ID_000043,Standard,72,F,4,Unknown,Divorced,$120K+,Platinum,56,4,0,5,15000,3039,16474,785.27,32703,8,49.31,0.573,UK
ID_000044,Platinum,31,F,5,Post-Graduate,Married,$60K - $80K,Blue,19,5,1,3,2000,6345,3251,2882.24,2886,17,47.49,0.456,UK
ID_000045,Platinum,72,M,3,High School,Single,$60K - $80K,Silver,4,1,1,4,15000,734,14240,254.72,30211,68,110.81,0.832,UK
ID_000046,Platinum,31,F,5,Unknown,Unknown,$40K - $60K,Platinum,28,4,0,5,10000,6187,19044,-369.48,8250,11,-5.78,0.782,USA
ID_000047,Platinum,27,M,2,Uneducated,Divorced,Less than $40K,Gold,44,2,4,5,1000,7667,2985,2301.92,32325,40,12.14,0.608,Canada
ID_000048,Gold,29,F,5,Graduate,Unknown,$80K - $120K,Silver,30,3,2,4,5000,2863,3777,974.26,21247,92,43.7,0.338,USA
ID_000049,Standard,55,F,4,Post-Graduate,Married,$80K - $120K,Silver,36,2,0,9,2000,5615,5877,3966.44,11982,77,-28.21,0.614,UK
ID_000050,Standard,61,M,0,Unknown,Unknown,$120K+,Silver,53,2,5,5,1000,8009,16736,4704.29,3412,63,0.2,0.067,Canada
ID_000051,Gold,72,M,0,Unknown,Divorced,$80K - $120K,Silver,42,3,3,8,15000,1551,1574,2525.97,18302,115,108.43,0.186,USA
ID_000052,Standard,63,F,2,Post-Graduate,Single,$40K - $60K,Blue,58,1,5,7,25000,5847,3076,3277.37,5686,194,56.61,0.931,Canada
ID_000053,Gold,51,F,5,Uneducated,Divorced,$60K - $80K,Blue,59,3,1,3,25000,3183,4066,4900.57,20093,70,72.95,0.922,UK
ID_000054,Platinum,58,M,4,Post-Graduate,Single,$120K+,Silver,4,4,1,1,15000,8461,17441,355.72,41798,122,17.1,0.376,Canada
ID_000055,Gold,27,F,3,Uneducated,Single,Less than $40K,Platinum,23,2,4,3,25000,9551,18472,4429.18,9858,189,70.16,0.256,Canada
ID_000056,Platinum,75,M,5,Post-Graduate,Unknown,$120K+,Silver,11,3,2,5,3000,8028,18707,2356.05,41700,52,21.68,0.864,USA
ID_000057,Platinum,34,M,5,Unknown,Divorced,$80K - $120K,Gold,4,5,5,9,3000,6094,6737,125.84,47742,67,4.78,0.831,UK
ID_000058,Premium,34,M,3,High School,Divorced,$40K - $60K,Silver,11,3,0,6,7500,469,5274,735.01,22037,65,21.34,0.98,USA
ID_000059,Gold,20,F,1,High School,Single,Less than $40K,Blue,49,3,3,3,3000,5944,7031,3128.49,17945,171,135.17,0.39,Canada
ID_000060,Premium,79,F,2,Unknown,Divorced,$120K+,Gold,53,4,5,2,7500,69,8018,4531.84,9723,171,66.16,0.775,UK
ID_000061,Gold,48,M,4,High School,Married,$80K - $120K,Platinum,24,2,3,0,10000,2170,16456,-286.18,771,40,36.92,0.623,Canada
ID_000062,Gold,68,M,2,Uneducated,Married,$120K+,Silver,54,4,2,6,10000,9842,2643,2835.53,39797,22,105.98,0.099,UK
ID_000063,Premium,18,M,3,Unknown,Unknown,Less than $40K,Gold,52,4,4,0,15000,3674,19533,1261.33,32015,96,-28.78,0.746,USA
ID_000064,Premium,29,M,4,Uneducated,Unknown,$80K - $120K,Silver,20,5,5,7,7500,8028,19092,930.18,3774,164,61.69,0.212,Canada
ID_000065,Gold,56,F,0,Unknown,Divorced,$60K - $80K,Platinum,45,4,2,4,10000,4332,14892,80.26,47741,149,10.06,0.251,UK
ID_000066,Standard,21,M,0,Uneducated,Unknown,Less than $40K,Platinum,17,4,4,7,7500,3291,2937,4328.96,17146,43,20.51,0.908,UK
ID_000067,Platinum,59,F,4,Uneducated,Divorced,$60K - $80K,Gold,58,5,4,1,2000,9865,17562,1185.53,17808,154,59.04,0.389,Canada
ID_000068,Premium,30,M,2,High School,Unknown,$60K - $80K,Platinum,13,1,5,2,15000,4151,3020,1659.72,35346,60,93.76,0.829,UK
ID_000069,Platinum,51,F,2,Unknown,Married,$80K - $120K,Gold,17,4,0,3,2000,8797,6785,244.27,36595,155,121.28,0.376,USA
ID_000070,Standard,59,F,0,Post-Graduate,Single,$120K+,Platinum,51,3,0,1,15000,9606,4060,2647.06,38990,46,149.59,0.207,UK
ID_000071,Standard,38,F,0,High School,Single,$120K+,Blue,52,4,3,3,3000,8003,4724,1641.19,44806,199,14.17,0.197,UK
ID_000072,Standard,39,F,3,Uneducated,Married,$40K - $60K,Gold,15,2,1,5,2000,2747,4350,158.01,36417,166,15.88,0.421,UK
ID_000073,Premium,74,F,4,Uneducated,Single,Less than $40K,Silver,4,3,5,6,15000,2098,974,862.89,21814,195,148.27,0.377,UK
ID_000074,Standard,21,M,2,Post-Graduate,Divorced,Less than $40K,Gold,18,3,4,5,1000,5247,16888,1347.0,36474,146,34.01,0.268,UK
ID_000075,Premium,35,M,3,Post-Graduate,Divorced,$80K - $120K,Platinum,43,1,3,6,7500,1250,14738,-538.12,11623,38,59.3,0.362,UK
ID_000076,Standard,22,F,2,Uneducated,Married,$80K - $120K,Platinum,9,2,5,1,1000,904,6856,-688.83,39148,120,89.38,0.142,UK
ID_000077,Platinum,36,M,0,Post-Graduate,Married,$40K - $60K,Platinum,48,2,1,0,25000,5040,8553,4954.92,38391,1,112.16,0.015,UK
ID_000078,Platinum,19,M,4,Graduate,Married,$40K - $60K,Silver,56,2,3,8,2000,3363,6329,4566.28,16598,120,59.92,0.586,UK
ID_000079,Gold,29,M,1,High School,Married,$60K - $80K,Silver,3,4,4,6,10000,1288,6537,2558.93,11719,158,0.05,0.988,USA
ID_000080,Platinum,34,M,4,Unknown,Single,$40K - $60K,Platinum,27,4,1,1,5000,1311,912,468.64,36880,55,-27.47,0.268,USA
ID_000081,Gold,27,M,5,Post-Graduate,Single,$120K+,Blue,18,3,2,6,2000,749,137,394.48,28838,169,105.02,0.274,Canada
ID_000082,Platinum,51,M,1,Post-Graduate,Single,$60K - $80K,Gold,17,1,0,3,7500,5944,10538,1643.15,22023,158,-32.82,0.979,USA
ID_000083,Premium,23,M,3,Graduate,Divorced,$40K - $60K,Platinum,10,4,0,2,5000,345,6194,1316.93,2104,194,-12.0,0.709,UK
ID_000084,Platinum,25,F,1,Unknown,Unknown,$120K+,Blue,57,4,1,3,5000,7211,14769,3398.18,36841,86,-8.73,0.952,UK
ID_000085,Gold,78,M,1,Graduate,Divorced,$120K+,Silver,37,1,5,4,7500,9362,18963,1442.66,5430,71,-43.02,0.167,UK
ID_000086,Gold,68,M,3,Unknown,Unknown,$60K - $80K,Platinum,56,2,1,8,10000,884,1906,4732.24,14323,179,120.04,0.08,UK
ID_000087,Standard,28,M,4,High School,Married,$60K - $80K,Gold,29,3,4,3,15000,9258,8911,517.46,6681,9,112.25,0.205,USA
ID_000088,Premium,74,F,3,Post-Graduate,Married,$120K+,Gold,47,4,1,8,3000,5443,13097,-840.14,10206,138,4.02,0.693,Canada
ID_000089,Platinum,29,F,5,High School,Single,$80K - $120K,Silver,52,1,5,3,10000,1343,14645,2619.83,26292,143,107.52,0.917,USA
ID_000090,Standard,26,M,0,Unknown,Single,$60K - $80K,Platinum,50,1,0,0,15000,7262,11874,4927.6,49952,41,24.95,0.024,UK
ID_000091,Platinum,19,F,0,Post-Graduate,Unknown,Less than $40K,Platinum,5,2,4,0,25000,2700,9016,4108.49,42141,49,-32.98,0.54,UK
ID_000092,Platinum,25,F,1,Graduate,Unknown,$80K - $120K,Platinum,56,5,5,3,15000,9353,8237,-968.72,4701,82,52.98,0.038,UK
ID_000093,Standard,75,M,3,Uneducated,Single,Less than $40K,Blue,47,5,3,3,10000,1711,15435,2451.23,30740,59,3.94,0.943,Canada
ID_000094,Standard,28,F,3,Graduate,Married,$40K - $60K,Blue,6,5,0,9,10000,627,1534,1722.75,29092,155,-29.57,0.335,UK
ID_000095,Standard,77,M,3,Uneducated,Single,$60K - $80K,Platinum,40,5,2,6,2000,5547,11766,3610.2,9876,61,-1.27,0.794,Canada
ID_000096,Standard,70,F,5,Graduate,Married,$60K - $80K,Gold,59,4,4,0,25000,1455,1155,516.33,36252,50,3.14,0.203,UK
ID_000097,Standard,53,M,5,Unknown,Married,$120K+,Blue,35,1,2,4,10000,3783,4451,462.46,44039,28,61.66,0.402,USA
ID_000098,Platinum,27,F,4,High School,Divorced,$60K - $80K,Gold,5,3,1,9,15000,8162,446,900.25,13491,11,71.65,0.693,Canada
ID_000099,Standard,38,M,2,Uneducated,Divorced,Less than $40K,Blue,50,4,3,7,10000,63,10083,476.98,22182,17,-20.17,0.709,Canada
ID_000100,Premium,37,M,2,Unknown,Unknown,$80K - $120K,Silver,15,5,1,7,2000,2429,6420,-868.37,44868,95,105.95,0.883,USA
ID_000101,Gold,65,F,2,High School,Married,$40K - $60K,Silver,27,3,0,6,10000,8654,11136,2769.15,43789,85,136.98,0.746,UK
ID_000102,Standard,25,M,4,High School,Single,$80K - $120K,Silver,44,3,3,3,25000,7196,16955,2676.52,8276,132,-3.91,0.349,Canada
ID_000103,Standard,53,M,3,Post-Graduate,Married,Less than $40K,Gold,51,5,5,6,5000,2545,19478,4110.7,14975,199,-43.65,0.398,USA
ID_000104,Platinum,46,F,2,Post-Graduate,Unknown,$40K - $60K,Gold,39,3,0,0,25000,3399,16769,3186.48,39822,35,116.86,0.631,UK
ID_000105,Standard,59,M,3,Post-Graduate,Married,$120K+,Platinum,33,4,3,5,5000,1558,8780,2845.21,49053,50,97.22,0.497,Canada
ID_000106,Standard,29,M,1,Uneducated,Married,$60K - $80K,Platinum,24,2,2,6,7500,9115,16006,392.56,43298,198,6.51,0.221,UK
ID_000107,Standard,78,F,2,Uneducated,Unknown,$60K - $80K,Silver,21,4,0,2,7500,8427,8658,3440.78,21416,171,52.85,0.47,USA
ID_000108,Platinum,31,M,1,High School,Married,$120K+,Silver,2,4,5,7,3000,5774,19525,4132.27,11188,165,93.61,0.514,Canada
ID_000109,Standard,65,F,4,Uneducated,Divorced,Less than $40K,Blue,19,2,0,7,10000,7737,9208,1663.44,43068,29,-6.55,0.55,UK
ID_000110,Gold,71,M,0,High School,Unknown,$120K+,Silver,45,5,1,7,5000,4519,5197,2243.03,31485,156,6.17,0.12,USA
ID_000111,Platinum,67,F,5,Unknown,Divorced,Less than $40K,Silver,52,5,5,4,25000,4241,12249,3706.02,49196,2,81.23,0.291,UK
ID_000112,Gold,38,F,4,Graduate,Unknown,$40K - $60K,Silver,18,2,4,6,2000,3529,3733,1793.73,25690,34,38.6,0.964,Canada
ID_000113,Platinum,39,M,4,High School,Married,$80K - $120K,Gold,10,4,5,4,10000,4817,16173,2999.08,33408,90,-37.01,0.926,UK
ID_000114,Standard,38,F,4,High School,Divorced,$80K - $120K,Gold,45,1,0,7,7500,1842,13033,288.95,39840,71,57.04,0.201,Canada
ID_000115,Gold,61,M,2,Unknown,Divorced,$120K+,Silver,37,3,5,8,10000,1954,8020,2505.52,36730,159,123.05,0.511,USA
ID_000116,Platinum,67,M,1,Post-Graduate,Single,$60K - $80K,Blue,23,3,3,3,1000,8073,2927,-776.93,11626,53,18.09,0.234,UK
ID_000117,Premium,47,F,5,Post-Graduate,Divorced,$120K+,Blue,45,3,1,3,2000,7736,17829,253.83,33981,71,12.77,0.834,UK
ID_000118,Standard,56,M,2,Post-Graduate,Divorced,$60K - $80K,Platinum,41,1,4,6,10000,1676,4583,4525.24,12693,39,-39.93,0.574,UK
ID_000119,Platinum,37,M,0,High School,Married,$120K+,Silver,1,4,0,6,25000,4724,11215,2571.31,45874,127,-21.0,0.84,UK
ID_000120,Premium,41,F,5,High School,Divorced,$120K+,Gold,58,5,2,7,5000,6679,15640,1733.05,19268,72,-31.04,0.398,UK
ID_000121,Platinum,40,M,4,Uneducated,Divorced,$80K - $120K,Silver,54,2,5,6,7500,937,6083,2131.83,48182,24,60.99,0.355,UK
ID_000122,Premium,24,M,3,Uneducated,Divorced,$60K - $80K,Blue,6,3,1,6,10000,5054,9289,-999.82,11802,78,25.41,0.444,USA
ID_000123,Standard,26,F,0,Graduate,Married,$80K - $120K,Gold,1,1,5,5,25000,5234,11361,1757.6,40875,187,42.63,0.479,UK
ID_000124,Gold,18,M,1,Graduate,Unknown,$60K - $80K,Gold,18,2,2,5,7500,6957,12790,-136.11,8526,194,101.73,0.78,UK
ID_000125,Premium,43,M,0,Uneducated,Married,$40K - $60K,Gold,27,4,3,9,25000,2378,15619,4148.8,41558,26,149.68,0.285,USA
ID_000126,Platinum,55,F,2,High School,Divorced,$40K - $60K,Platinum,48,1,1,2,15000,9150,12479,1481.15,11835,150,137.74,0.514,UK
ID_000127,Standard,55,M,3,Unknown,Unknown,$40K - $60K,Silver,40,1,1,3,1000,1427,8568,392.05,6452,139,-17.39,0.899,Canada
ID_000128,Premium,71,M,2,Uneducated,Married,Less than $40K,Silver,38,2,1,9,3000,9999,15372,2071.1,38288,193,85.48,0.404,Canada
ID_000129,Platinum,78,F,5,High School,Married,$80K - $120K,Silver,45,2,4,3,2000,4642,5079,1194.31,23261,155,32.2,0.753,Canada
ID_000130,Platinum,61,M,4,Uneducated,Unknown,$80K - $120K,Blue,17,3,5,8,7500,6604,9433,1760.27,24355,15,-35.39,0.128,Canada
ID_000131,Platinum,39,M,4,Post-Graduate,Single,$40K - $60K,Gold,26,4,4,5,3000,4062,2875,3354.51,19201,196,61.68,0.1,Canada
ID_000132,Premium,61,F,0,Uneducated,Divorced,$120K+,Gold,13,2,0,9,10000,2467,4797,2055.37,352,35,15.54,0.309,UK
ID_000133,Premium,27,F,4,Post-Graduate,Single,$80K - $120K,Blue,10,3,2,2,1000,5493,1245,4489.72,44656,66,60.88,0.394,Canada
ID_000134,Premium,72,M,4,High School,Divorced,$60K - $80K,Platinum,59,3,5,3,10000,13,252,540.95,25875,138,43.4,0.446,Canada
ID_000135,Gold,79,M,5,Post-Graduate,Divorced,$80K - $120K,Blue,38,2,5,5,15000,1962,4382,956.39,25609,92,8.7,0.617,USA
ID_000136,Premium,75,F,1,Uneducated,Single,$80K - $120K,Gold,26,1,0,5,1000,5654,7997,3665.27,21444,140,25.33,0.877,USA
ID_000137,Premium,23,M,1,Post-Graduate,Single,$60K - $80K,Platinum,31,1,2,4,2000,5599,15054,3700.33,569,136,114.11,0.166,UK
ID_000138,Premium,34,M,2,Unknown,Divorced,$40K - $60K,Platinum,23,1,0,0,2000,3055,12491,4859.56,14800,190,126.02,0.017,USA
ID_000139,Gold,68,M,2,Post-Graduate,Unknown,$40K - $60K,Gold,50,3,1,9,25000,8704,11466,2770.36,25902,158,11.86,0.83,Canada
ID_000140,Premium,67,F,1,Post-Graduate,Unknown,$60K - $80K,Blue,59,1,1,5,15000,8753,2920,2443.0,33982,150,74.04,0.153,USA
ID_000141,Platinum,55,M,0,Graduate,Single,$80K - $120K,Silver,20,4,2,3,7500,6428,19372,2533.09,13042,65,120.43,0.015,Canada
ID_000142,Premium,41,M,1,Unknown,Single,$80K - $120K,Silver,23,1,1,7,7500,8193,177,1167.94,34470,18,108.12,0.06,USA
ID_000143,Platinum,68,F,2,High School,Married,$40K - $60K,Silver,45,1,0,9,2000,7823,10977,1309.75,45117,104,15.9,0.742,USA
ID_000144,Platinum,27,F,3,Post-Graduate,Unknown,Less than $40K,Blue,27,3,4,0,15000,79,15194,679.12,7377,167,-22.32,0.76,UK
ID_000145,Platinum,73,F,4,Unknown,Unknown,$40K - $60K,Gold,15,5,3,4,2000,7587,16187,2581.29,3131,175,74.27,0.212,Canada
ID_000146,Gold,25,M,5,High School,Divorced,$60K - $80K,Blue,38,4,5,3,10000,9369,17007,4041.45,24564,4,-36.42,0.303,Canada
ID_000147,Gold,38,M,3,Unknown,Married,Less than $40K,Silver,11,3,5,4,7500,1098,17941,2800.91,8520,197,114.23,0.49,Canada
ID_000148,Gold,73,F,3,Graduate,Divorced,Less than $40K,Silver,8,4,0,8,10000,8454,4054,1835.49,31743,186,42.53,0.261,Canada
ID_000149,Premium,23,M,4,High School,Married,$60K - $80K,Silver,14,4,2,6,7500,9893,9531,-618.23,46879,150,93.83,0.871,USA
ID_000150,Platinum,38,M,1,High School,Unknown,$120K+,Blue,13,1,1,2,7500,1715,13217,485.95,34238,196,-14.5,0.286,Canada
ID_000151,Gold,74,M,0,Post-Graduate,Divorced,$40K - $60K,Blue,22,4,3,2,25000,2353,6785,4070.09,41471,109,-16.35,0.653,UK
ID_000152,Gold,79,M,3,Uneducated,Married,$80K - $120K,Silver,34,1,3,6,1000,4551,16767,1377.26,37414,43,-8.41,0.102,UK
ID_000153,Premium,56,F,0,High School,Divorced,$40K - $60K,Platinum,1,4,1,0,5000,313,8116,4313.39,13457,198,104.58,0.448,Canada
ID_000154,Gold,41,F,5,High School,Married,$60K - $80K,Silver,37,5,0,7,2000,3419,10951,456.23,38401,26,4.99,0.048,UK
ID_000155,Premium,50,M,5,Graduate,Single,$80K - $120K,Gold,32,4,1,2,1000,6247,8060,2454.33,1679,142,139.12,0.466,USA
ID_000156,Standard,76,F,5,Graduate,Divorced,$120K+,Blue,11,2,4,7,7500,4892,2587,4782.43,28110,161,-35.79,0.001,Canada
ID_000157,Gold,35,M,2,Graduate,Single,$60K - $80K,Platinum,10,1,2,7,5000,7874,10556,2341.1,47538,52,77.87,0.021,Canada
ID_000158,Standard,73,M,3,Post-Graduate,Married,$40K - $60K,Platinum,30,5,5,1,5000,5155,2387,253.53,30547,90,109.44,0.535,Canada
ID_000159,Premium,45,F,5,High School,Divorced,Less than $40K,Gold,12,1,1,2,1000,261,4080,377.28,47669,133,60.0,0.011,USA
ID_000160,Platinum,74,F,2,Graduate,Married,$60K - $80K,Silver,42,5,0,9,3000,7040,14123,-53.88,3767,26,-48.31,0.804,Canada
ID_000161,Gold,69,M,5,Graduate,Married,$60K - $80K,Silver,41,1,4,0,3000,6222,16607,-872.62,35687,147,135.98,0.294,USA
ID_000162,Premium,49,M,1,Unknown,Single,$40K - $60K,Silver,34,2,5,5,25000,4430,4284,3154.56,5614,84,74.43,0.118,UK
ID_000163,Platinum,29,M,3,Unknown,Divorced,$120K+,Gold,55,2,4,2,7500,895,8698,3698.51,32317,150,143.24,0.509,USA
ID_000164,Platinum,65,M,2,Graduate,Unknown,$40K - $60K,Blue,25,5,0,8,10000,6911,19180,3921.54,12775,1,-1.88,0.783,UK
ID_000165,Standard,59,F,5,Post-Graduate,Married,$40K - $60K,Blue,36,3,2,0,10000,3642,2171,-557.66,16710,130,35.93,0.89,USA
ID_000166,Premium,44,F,2,Uneducated,Single,$120K+,Gold,4,1,3,7,15000,9139,2076,4653.59,38225,151,20.93,0.778,Canada
ID_000167,Platinum,27,M,5,Unknown,Unknown,$120K+,Blue,58,3,4,6,3000,9252,13594,2710.8,11224,36,104.48,0.579,UK
ID_000168,Gold,63,M,1,Unknown,Single,$60K - $80K,Gold,21,4,5,6,10000,3654,12596,-469.91,44876,24,47.47,0.928,UK
ID_000169,Gold,74,F,0,High School,Single,Less than $40K,Gold,30,2,0,7,25000,9319,8462,-490.67,41659,131,12.62,0.448,USA
ID_000170,Standard,69,M,5,High School,Single,$40K - $60K,Platinum,38,1,5,8,7500,7849,17759,2058.8,29639,131,-19.1,0.683,Canada
ID_000171,Platinum,59,F,0,Graduate,Married,Less than $40K,Platinum,12,2,5,7,3000,5158,8193,465.76,48474,52,42.52,0.235,UK
ID_000172,Premium,49,M,3,High School,Unknown,$120K+,Blue,39,4,4,5,1000,6076,19115,434.56,10259,174,135.05,0.414,Canada
ID_000173,Gold,59,F,1,High School,Married,$120K+,Platinum,25,5,5,0,25000,521,5386,-929.4,41023,70,55.71,0.421,UK
ID_000174,Platinum,43,M,3,Uneducated,Married,$40K - $60K,Blue,54,1,3,0,5000,6918,14280,1894.06,41057,49,-35.84,0.024,Canada
ID_000175,Platinum,42,M,0,Post-Graduate,Divorced,$60K - $80K,Gold,19,1,5,6,15000,5110,5555,-480.44,39235,144,98.02,0.245,Canada
ID_000176,Standard,28,M,1,Graduate,Unknown,$40K - $60K,Blue,2,1,0,2,25000,7505,6467,-539.42,41166,1,95.55,0.413,UK
ID_000177,Gold,40,F,4,Uneducated,Divorced,$60K - $80K,Platinum,22,5,4,2,2000,8198,2186,-48.12,20940,52,-42.42,0.424,UK
ID_000178,Gold,51,F,1,Graduate,Single,$80K - $120K,Blue,30,2,0,8,5000,6053,19753,-936.05,12208,124,74.06,0.916,Canada
ID_000179,Premium,74,M,1,Post-Graduate,Unknown,$60K - $80K,Platinum,57,5,5,9,3000,870,6500,-379.0,7765,143,137.89,0.835,Canada
ID_000180,Gold,69,M,4,Graduate,Unknown,$40K - $60K,Gold,51,2,0,3,5000,1779,7036,2566.05,28953,105,117.03,0.495,Canada
